Dir14/1G2C_F.log3,1g2cF,5tpnA
Dir282/5EC5_P.log3,5ec5P,3zxgB
Dir50/1UXM_K.log3,1uxmK,2namA
Dir239/4P24_A.log3,7ahlE,4yhdG
Dir271/5AOE_B.log3,5aoeB,5ly6B
Dir36/1OVA_A.log3,1ovaA,1jtiB
Dir139/3GMH_L.log3,3gmhL,2vfxL
Dir156/3M1B_F.log3,3m1bF,3lowA
Dir147/3J7W_B.log3,3j7wB,3j7vG
Dir90/2LQW_A.log3,2lqwA,2bzyB
Dir283/5EJB_C.log3,5ejbC,1wp8C
Dir77/2FRH_A.log3,2frhA,1fzpD
Dir294/5HMG_A.log3,5hmgA,3ztjE
Dir112/2XFC_A.log3,2xfcA,3j2wH
Dir221/4J3O_F.log3,4j3oF,2jmrA
Dir215/4HDD_A.log3,4hddA,2lepA
Dir29/1MIQ_B.log3,1miqB,1qs8B
Dir234/4NC9_C.log3,4nc9C,4n9wA
Dir148/3J97_M.log3,3j97M,1xtgB
Dir90/2M4J_G.log3,2naoF,1iytA
Dir219/4IL1_D.log3,5c1vA,5c1vB
Dir268/4ZT0_C.log3,4zt0C,4cmqB
Dir299/5JYT_A.log3,5jytA,2qkeE
Dir89/2LEJ_A.log3,2lejA,2lv1A
Dir149/3JV6_A.log3,3jv6A,1zk9A
Dir299/5K5G_A.log3,5k5gA,2kb8A
Dir255/4UV2_D.log3,4uv2D,4q79F
Dir55/1WYY_B.log3,1wyyB,5wrgC
Dir286/5FHC_J.log3,5fhcJ,1eboE
Dir258/4WSG_C.log3,4wsgC,1svfC
Dir32/1NQD_A.log3,1nqdA,1nqjB
Dir287/5FLU_E.log3,5fluE,2uy7D
Dir171/3QY2_A.log3,3qy2A,1qb3A
Dir95/2OUG_C.log3,2ougC,2lclA
Dir40/1QOM_B.log3,1qomB,1nocA
Dir249/4RR2_D.log3,4rr2D,3l9qB
Dir78/2GED_B.log3,2gedB,1nrjB
Dir300/5KEQ_F.log3,5keqF,1dzlA
Dir262/4Y0M_J.log3,4y0mJ,4xwsD
Dir68/2C1U_C.log3,2c1uC,2c1vB
Dir268/4ZRB_C.log3,4zrbC,4zrbH
Dir244/4QHI_D.log3,4qhfA,4qhhA
Dir193/4AAN_A.log3,4aanA,4aalA
Dir55/1X0G_A.log3,1x0gA,1x0gD
Dir194/4AE0_A.log3,4ae0A,4ow6B
Dir30/1MNM_C.log3,1mnmC,1mnmD
Dir92/2NNT_A.log3,2nntA,2mwfA
Dir223/4JPH_B.log3,4jphB,5hk5H
Dir144/3IFA_A.log3,3ifaA,5et5A
Dir150/3K2S_A.log3,3k2sA,2a01C
Dir211/4FU4_C.log3,4fu4C,4g0dZ
Dir16/1H38_D.log3,1h38D,1qlnA
Dir273/5B3Z_A.log3,5b3zA,5bmyA
Dir56/1XJT_A.log3,1xjtA,1xjuB
Dir268/4ZPU_C.log3,3hdeA,3hdfA
Dir196/4B3O_B.log3,4b3oB,3meeA
Dir252/4TWA_A.log3,4twaA,4ydqB
Dir133/3EJH_A.log3,3ejhA,3m7pA
Dir219/4IQA_B.log3,1k0nA,1rk4B
Dir57/1XNT_A.log3,1xntA,3lqcA
Dir65/2AXZ_A.log3,2axzA,2grmB
Dir213/4GQC_C.log3,4gqcC,4gqcB
Dir236/4O0P_A.log3,4o0pA,4o01D
Dir205/4DXT_A.log3,4dxtA,4dxrA
Dir250/4RWN_A.log3,4rwnA,4rwqB
Dir81/2HDM_A.log3,2hdmA,2n54B
Dir185/3VO9_B.log3,3vo9B,3vpaD
Dir96/2P3V_A.log3,2p3vA,2p3vD
Dir192/3ZWG_N.log3,3zwgN,4tsyD
Dir134/3EWS_B.log3,3ewsB,3g0hA
Dir182/3TP2_A.log3,3tp2A,5lj3M
Dir315/5UVP_A.log3           ,3njqA  , 2pbkB   
Dir252/4RMB_A.log3,4rmbA,4rmbB
Dir70/2CE7_C.log3,2ce7C,3kdsG
Dir241/4PHQ_A.log3,4phqA,2wcdX
Dir180/3T1P_A.log3,3t1pA,1kctA
Dir148/3J9C_A.log3,3j9cA,4h2aA
Dir93/2NXQ_B.log3,2nxqB,1jfkA
Dir302/5L35_D.log3,5l35D,5l35G
Dir293/5I2M_A.log3,5i2mA,5i2sA
Dir285/5F3K_A.log3,5f3kA,5f5rB
Dir244/4QDS_A.log3,4qdsA,2qqjA
Dir295/5JZH_A.log3,5jzhA,5jztG
Dir245/4PYI_A.log3,4pyiA,4pyjA
Dir292/5INE_A.log3,5ineA,3mkoA
Dir29/1MBY_A.log3,1mbyA,2n19A
Dir64/2A73_B.log3,2a73B,3l5nB
Dir88/2K0Q_A.log3,2k0qA,2lelA
Dir186/3UYI_A.log3,3uyiA,3v0tA
Dir195/4A5W_B.log3,4a5wB,3t5oA
Dir42/1RKP_A.log3,1rkpA,2h44A
Dir6/2K42_A.log3,1ceeB,2k42A
Dir164/3O44_A.log3,3o44A,1xezA
Dir42/1REP_C.log3,1repC,2z9oB
Dir154/3KUY_A.log3,3kuyA,5c3iF
Dir91/2N0A_D.log3,2n0aD,2kkwA
